femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id,incident_duration
FM-5529-OR,5529,OR,FM,2024-08-09 00:00:00+00:00,2024,Fire,LEE FALLS FIRE,False,False,True,True,2024-08-08 00:00:00+00:00,,,False,41,067,99067,Washington (County),24122,,2024081001,10,R,2024-08-27T18:22:14.800Z,ae87cf3c6ed795015b714af7166c7c295b2b67c7,09e3f81a-5e16-4b72-b317-1c64e0cfa59c,
FM-5528-OR,5528,OR,FM,2024-08-06 00:00:00+00:00,2024,Fire,ELK LANE FIRE,False,False,True,True,2024-08-04 00:00:00+00:00,,,False,41,031,99031,Jefferson (County),24116,,2024080701,10,R,2024-08-27T18:22:14.800Z,432cf0995c47e3895cea696ede5621b810460501,59983f89-30bf-4888-b21b-62e8d57d9aac,
FM-5527-OR,5527,OR,FM,2024-08-02 00:00:00+00:00,2024,Fire,MILE MARKER 132 FIRE,False,False,True,True,2024-08-02 00:00:00+00:00,,,False,41,017,99017,Deschutes (County),24111,,2024080301,10,R,2024-08-27T18:22:14.800Z,2f21d90cb6bc64b0d4121aa3f18d852bbb4b11fa,8d13ecf0-bc2f-496b-8c9f-b2e73da832a0,
FM-5521-WA,5521,WA,FM,2024-07-26 00:00:00+00:00,2024,Fire,RETREAT FIRE,False,False,True,True,2024-07-23 00:00:00+00:00,,,False,53,077,99077,Yakima (County),24098,,2024072601,10,R,2024-08-27T18:22:14.800Z,e205f5a4b56cadd811661c07fc8a8143b6c8c604,bc02a243-2458-4af3-84e3-b9928bd1d41d,
FM-5520-ID,5520,ID,FM,2024-07-26 00:00:00+00:00,2024,Fire,GWEN FIRE,False,False,True,True,2024-07-25 00:00:00+00:00,,,False,16,000,57340,Nez Perce Indian Reservation,24099,,2024072602,10,R,2024-08-27T18:22:14.800Z,ba084caa4ee18c9c0c4383346e7669d4af4ab9b7,85cccdec-5e22-436f-a3e7-acd7340172cf,
FM-5520-ID,5520,ID,FM,2024-07-26 00:00:00+00:00,2024,Fire,GWEN FIRE,False,False,True,True,2024-07-25 00:00:00+00:00,,,False,16,057,99057,Latah (County),24099,,2024072602,10,R,2024-08-27T18:22:14.800Z,0efc8eae4e51c80bcc84a928cea6a4d9f99420b9,d0e4282c-5d39-4af2-814c-2192d748f16c,
FM-5520-ID,5520,ID,FM,2024-07-26 00:00:00+00:00,2024,Fire,GWEN FIRE,False,False,True,True,2024-07-25 00:00:00+00:00,,,False,16,069,99069,Nez Perce (County),24099,,2024072602,10,R,2024-08-27T18:22:14.800Z,b3b37b3287af4f410534ef8c33615c70f30e9e4c,b058f371-8e3e-49dc-bb08-aac48229a85f,
FM-5518-WA,5518,WA,FM,2024-07-24 00:00:00+00:00,2024,Fire,SWAWILLA FIRE ,False,False,True,True,2024-07-17 00:00:00+00:00,,,False,53,000,14240,Colville Indian Reservation,24096,,2024072501,10,R,2024-08-27T18:22:14.800Z,10b708f6fa7a3b9f114f2fb414b7fddb5459eefe,234f8a8c-91e7-4c3a-8fa4-95a9febd31b7,
FM-5518-WA,5518,WA,FM,2024-07-24 00:00:00+00:00,2024,Fire,SWAWILLA FIRE ,False,False,True,True,2024-07-17 00:00:00+00:00,,,False,53,019,99019,Ferry (County),24096,,2024072501,10,R,2024-08-27T18:22:14.800Z,1d8354897e36fb04ed1b8a480d2e065ab6b9d9a6,c0f74948-1888-46f1-b6bd-a396762f9039,
FM-5518-WA,5518,WA,FM,2024-07-24 00:00:00+00:00,2024,Fire,SWAWILLA FIRE ,False,False,True,True,2024-07-17 00:00:00+00:00,,,False,53,047,99047,Okanogan (County),24096,,2024072501,10,R,2024-08-27T18:22:14.800Z,874d39c0964009110ef7dbac3c6e01bf22c69380,b17a068f-2f8c-4ff2-b26c-ec654f079e60,
